run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[11],packetBytesStat:stats,,,,1960,,38.436734693878,21.569339912202,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[11],packetDelayStat:stats,,,,1960,,15.122513691064,15.42316293237,0.000892155213,66.981611358007,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[12],userThroughputStat:stats,,,,1111,,37.084708470847,120.69018989138,0,918.88888888889,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[12],packetBytesStat:stats,,,,1982,,37.417759838547,21.731834655246,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[12],packetDelayStat:stats,,,,1982,,13.369557221195,10.943230100685,0.000810460219,45.846124705405,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[12],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[13],userThroughputStat:stats,,,,1111,,36.838683868387,131.52709822842,0,865,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[13],packetBytesStat:stats,,,,1971,,37.376966007103,21.375716976804,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[13],packetDelayStat:stats,,,,1971,,14.552554085683,10.519292243492,0.002924794135,54.552878324521,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[13],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[14],userThroughputStat:stats,,,,1111,,37.085708570857,90.281132481276,0,910,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[14],packetBytesStat:stats,,,,1931,,38.40704298291,22.02779760823,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[14],packetDelayStat:stats,,,,1931,,6.5644678759772,8.9376377366011,0.000433081009,42.15012011784,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[14],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[15],userThroughputStat:stats,,,,1111,,37.397739773977,163.32143503952,0,1060,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[15],packetBytesStat:stats,,,,1914,,39.074190177638,21.535434578758,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[15],packetDelayStat:stats,,,,1914,,57.212588983292,44.716916528313,0.0140908301,149.62373913591,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[15],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[16],userThroughputStat:stats,,,,1111,,37.370737073707,163.09822817288,0,1182.7777777778,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[16],packetBytesStat:stats,,,,1930,,38.722279792746,21.521411354556,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[16],packetDelayStat:stats,,,,1930,,56.151353187819,36.466789681539,0.048146786371,131.88177163017,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[16],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[17],userThroughputStat:stats,,,,1111,,37.574757475748,163.56763073227,0,1046.1111111111,,
